,Name,B,F,G,Var,HD,HIP,RA,Dec,vis_mag,Dist.,Sp.class,Notes
76,V923 Aql,,,55,V923,183656,95929,19h 30m 33.11s,+03° 26′ 39.8″,6.09,962,B5.5IIIpe-B8V,"γ Cas variable, ΔV = 0.12m"
77,R Aql,,,22,R,177940,93820,19h 06m 22.25s,+08° 13′ 48.0″,6.09,1400,M6.5-9e,"Mira variable, Vmax = 5.5m, Vmin = 12.0m, P = 270.5 d"
78,137 G. Aql,,,137,,194454,100758,20h 25m 42.53s,−02° 48′ 01.0″,6.10,713,K1III:,
79,V500 Aql,,,,V500,,,19h 52m 27.98s,+08° 28′ 41.6″,6.1,,pec(NOVA) – e+cont,"Nova Aquilae; Vmax = 6.1m, Vmin = 17.8m"
80,85 G. Aql,,,85,,187660,97687,19h 51m 11.10s,−02° 27′ 39.2″,6.12,570,K5III,
81,68 Aql,,68,139,,194939,100977,20h 28m 24.89s,−03° 21′ 27.9″,6.12,557,B9V,double star
82,HD 188385,,,96,,188385,97970,19h 54m 40.18s,+07° 08′ 25.3″,6.14,263,A2V,double star
83,HD 194244,,,135,,194244,100664,20h 24m 37.49s,+01° 04′ 06.2″,6.14,840,B9V,triple star; suspected variable
84,HD 187923,,,,,187923,97767,19h 52m 03.64s,+11° 37′ 44.9″,6.16,90,G0V,double star; suspected variable
85,101 G. Aql,,,101,,189322,98385,19h 59m 22.63s,+01° 22′ 39.1″,6.17,769,G8III,
86,34 G. Aql,,,34,,180782,94833,19h 17m 48.18s,+02° 01′ 54.5″,6.19,275,A1Vn,
87,6 G. Aql,,,6,,175640,92963,18h 56m 22.66s,−01° 47′ 59.3″,6.20,525,B9III,
88,145 G. Aql,,,145,,196426,101746,20h 37m 18.38s,+00° 05′ 49.2″,6.21,643,B8IIIp,
89,7 G. Aql,,,7,,176095,93138,18h 58m 23.71s,+06° 14′ 24.7″,6.22,185,F5IV,
90,4 G. Aql,,,4,,174240,92386,18h 49m 37.18s,+00° 50′ 10.4″,6.24,575,A1V,
91,12 G. Aql,,,12,,176981,93488,19h 02m 21.56s,+08° 22′ 24.7″,6.25,849,K2III,
